CountyFIPS,state,county,fmrkt18
01001,AL,Autauga,1
01003,AL,Baldwin,4
01005,AL,Barbour,4
01007,AL,Bibb,1
01009,AL,Blount,1
01011,AL,Bullock,1
01013,AL,Butler,2
01015,AL,Calhoun,2
01017,AL,Chambers,1
01019,AL,Cherokee,1
01021,AL,Chilton,0
01023,AL,Choctaw,1
01025,AL,Clarke,2
01027,AL,Clay,2
01029,AL,Cleburne,1
01031,AL,Coffee,2
01033,AL,Colbert,2
01035,AL,Conecuh,1
01037,AL,Coosa,0
01039,AL,Covington,2
01041,AL,Crenshaw,1
01043,AL,Cullman,1
01045,AL,Dale,2
01047,AL,Dallas,1
01049,AL,DeKalb,2
01051,AL,Elmore,2
01053,AL,Escambia,2
01055,AL,Etowah,3
01057,AL,Fayette,1
01059,AL,Franklin,2
01061,AL,Geneva,0
01063,AL,Greene,2
01065,AL,Hale,1
01067,AL,Henry,2
01069,AL,Houston,3
01071,AL,Jackson,1
01073,AL,Jefferson,17
01075,AL,Lamar,1
01077,AL,Lauderdale,1
01079,AL,Lawrence,1
01081,AL,Lee,4
01083,AL,Limestone,1
01085,AL,Lowndes,1
01087,AL,Macon,1
01089,AL,Madison,7
01091,AL,Marengo,3
01093,AL,Marion,2
01095,AL,Marshall,3
01097,AL,Mobile,5
01099,AL,Monroe,2
01101,AL,Montgomery,3
01103,AL,Morgan,3
01105,AL,Perry,1
01107,AL,Pickens,2
01109,AL,Pike,1
01111,AL,Randolph,2
01113,AL,Russell,1
01115,AL,St. Clair,1
01117,AL,Shelby,8
01119,AL,Sumter,1
01121,AL,Talladega,1
01123,AL,Tallapoosa,1
01125,AL,Tuscaloosa,2
01127,AL,Walker,1
01129,AL,Washington,1
01131,AL,Wilcox,3
01133,AL,Winston,1
02013,AK,Aleutians East,0
02016,AK,Aleutians West,1
02020,AK,Anchorage,10
02050,AK,Bethel,0
02060,AK,Bristol Bay,0
02068,AK,Denali,0
02070,AK,Dillingham,1
02090,AK,Fairbanks North Star,3
02100,AK,Haines,1
02105,AK,Hoonah-Angoon,0
02110,AK,Juneau,2
02122,AK,Kenai Peninsula,6
02130,AK,Ketchikan Gateway,0
02150,AK,Kodiak Island,0
02164,AK,Lake and Peninsula,0
02170,AK,Matanuska-Susitna,7
02180,AK,Nome,0
02185,AK,North Slope,0
02188,AK,Northwest Arctic,0
02195,AK,Petersburg,1
02198,AK,Prince of Wales-Hyder,0
02220,AK,Sitka,1
02230,AK,Skagway,0
02240,AK,Southeast Fairbanks,1
02261,AK,Valdez-Cordova,3
02275,AK,Wrangell,0
02282,AK,Yakutat,0
02290,AK,Yukon-Koyukuk,1
04001,AZ,Apache,1
04003,AZ,Cochise,3
04005,AZ,Coconino,3
04007,AZ,Gila,2
04009,AZ,Graham,1
04011,AZ,Greenlee,0
04012,AZ,La Paz,0
04013,AZ,Maricopa,39
04015,AZ,Mohave,1
04017,AZ,Navajo,3
04019,AZ,Pima,24
04021,AZ,Pinal,1
04023,AZ,Santa Cruz,5
04025,AZ,Yavapai,8
04027,AZ,Yuma,0
05001,AR,Arkansas,2
05003,AR,Ashley,2
05005,AR,Baxter,3
05007,AR,Benton,8
05009,AR,Boone,3
05011,AR,Bradley,0
05013,AR,Calhoun,0
05015,AR,Carroll,3
05017,AR,Chicot,1
05019,AR,Clark,1
05021,AR,Clay,1
05023,AR,Cleburne,1
05025,AR,Cleveland,1
05027,AR,Columbia,1
05029,AR,Conway,1
05031,AR,Craighead,2
05033,AR,Crawford,1
05035,AR,Crittenden,0
05037,AR,Cross,1
05039,AR,Dallas,0
05041,AR,Desha,0
05043,AR,Drew,0
05045,AR,Faulkner,5
05047,AR,Franklin,1
05049,AR,Fulton,0
05051,AR,Garland,3
05053,AR,Grant,1
05055,AR,Greene,1
05057,AR,Hempstead,2
05059,AR,Hot Spring,0
05061,AR,Howard,1
05063,AR,Independence,0
05065,AR,Izard,1
05067,AR,Jackson,1
05069,AR,Jefferson,1
05071,AR,Johnson,2
05073,AR,Lafayette,0
05075,AR,Lawrence,2
05077,AR,Lee,1
05079,AR,Lincoln,0
05081,AR,Little River,1
05083,AR,Logan,3
05085,AR,Lonoke,0
05087,AR,Madison,1
05089,AR,Marion,1
05091,AR,Miller,2
05093,AR,Mississippi,2
05095,AR,Monroe,0
05097,AR,Montgomery,1
05099,AR,Nevada,1
05101,AR,Newton,2
05103,AR,Ouachita,1
05105,AR,Perry,1
05107,AR,Phillips,2
05109,AR,Pike,1
05111,AR,Poinsett,1
05113,AR,Polk,1
05115,AR,Pope,2
05117,AR,Prairie,0
05119,AR,Pulaski,11
05121,AR,Randolph,1
05123,AR,St. Francis,1
05125,AR,Saline,1
05127,AR,Scott,2
05129,AR,Searcy,1
05131,AR,Sebastian,2
05133,AR,Sevier,0
05135,AR,Sharp,2
05137,AR,Stone,2
05139,AR,Union,1
05141,AR,Van Buren,1
05143,AR,Washington,5
