CountyFIPS,state,county,wics16
01001,AL,Autauga,5
01003,AL,Baldwin,28
01005,AL,Barbour,6
01007,AL,Bibb,5
01009,AL,Blount,8
01011,AL,Bullock,3
01013,AL,Butler,4
01015,AL,Calhoun,20
01017,AL,Chambers,6
01019,AL,Cherokee,4
01021,AL,Chilton,6
01023,AL,Choctaw,3
01025,AL,Clarke,8
01027,AL,Clay,3
01029,AL,Cleburne,4
01031,AL,Coffee,7
01033,AL,Colbert,9
01035,AL,Conecuh,2
01037,AL,Coosa,1
01039,AL,Covington,7
01041,AL,Crenshaw,3
01043,AL,Cullman,12
01045,AL,Dale,6
01047,AL,Dallas,8
01049,AL,DeKalb,11
01051,AL,Elmore,9
01053,AL,Escambia,6
01055,AL,Etowah,14
01057,AL,Fayette,4
01059,AL,Franklin,7
01061,AL,Geneva,7
01063,AL,Greene,2
01065,AL,Hale,2
01067,AL,Henry,4
01069,AL,Houston,22
01071,AL,Jackson,11
01073,AL,Jefferson,79
01075,AL,Lamar,4
01077,AL,Lauderdale,18
01079,AL,Lawrence,4
01081,AL,Lee,16
01083,AL,Limestone,8
01085,AL,Lowndes,2
01087,AL,Macon,4
01089,AL,Madison,44
01091,AL,Marengo,5
01093,AL,Marion,6
01095,AL,Marshall,16
01097,AL,Mobile,55
01099,AL,Monroe,5
01101,AL,Montgomery,25
01103,AL,Morgan,17
01105,AL,Perry,3
01107,AL,Pickens,4
01109,AL,Pike,6
01111,AL,Randolph,4
01113,AL,Russell,11
01115,AL,St. Clair,12
01117,AL,Shelby,26
01119,AL,Sumter,4
01121,AL,Talladega,12
01123,AL,Tallapoosa,8
01125,AL,Tuscaloosa,22
01127,AL,Walker,11
01129,AL,Washington,3
01131,AL,Wilcox,5
01133,AL,Winston,6
02013,AK,Aleutians East,3
02016,AK,Aleutians West,3
02020,AK,Anchorage,24
02050,AK,Bethel,14
02060,AK,Bristol Bay,2
02070,AK,Dillingham,3
02090,AK,Fairbanks North Star,8
02100,AK,Haines,2
02105,AK,Hoonah-Angoon,2
02110,AK,Juneau,5
02122,AK,Kenai Peninsula,11
02130,AK,Ketchikan Gateway,3
02150,AK,Kodiak Island,2
02164,AK,Lake and Peninsula,1
02170,AK,Matanuska-Susitna,6
02180,AK,Nome,15
02185,AK,North Slope,6
02188,AK,Northwest Arctic,13
02195,AK,Petersburg,3
02198,AK,Prince of Wales-Hyder,4
02220,AK,Sitka,3
02240,AK,Southeast Fairbanks,3
02261,AK,Valdez-Cordova,4
02270,AK,Wade Hampton,14
02275,AK,Wrangell,2
02282,AK,Yakutat,2
02290,AK,Yukon-Koyukuk,7
04001,AZ,Apache,27
04003,AZ,Cochise,17
04005,AZ,Coconino,22
04007,AZ,Gila,8
04009,AZ,Graham,5
04011,AZ,Greenlee,1
04012,AZ,La Paz,6
04013,AZ,Maricopa,417
04015,AZ,Mohave,20
04017,AZ,Navajo,24
04019,AZ,Pima,97
04021,AZ,Pinal,31
04023,AZ,Santa Cruz,4
04025,AZ,Yavapai,22
04027,AZ,Yuma,26
05001,AR,Arkansas,4
05003,AR,Ashley,4
05005,AR,Baxter,6
05007,AR,Benton,28
05009,AR,Boone,5
05011,AR,Bradley,1
05015,AR,Carroll,5
05017,AR,Chicot,2
05019,AR,Clark,2
05021,AR,Clay,3
05023,AR,Cleburne,4
05025,AR,Cleveland,1
05027,AR,Columbia,6
05029,AR,Conway,3
05031,AR,Craighead,14
05033,AR,Crawford,8
05035,AR,Crittenden,11
05037,AR,Cross,4
05039,AR,Dallas,1
05041,AR,Desha,3
05043,AR,Drew,2
05045,AR,Faulkner,13
05047,AR,Franklin,4
05049,AR,Fulton,1
05051,AR,Garland,13
05053,AR,Grant,2
05055,AR,Greene,5
05057,AR,Hempstead,4
05059,AR,Hot Spring,4
05061,AR,Howard,2
05063,AR,Independence,5
05065,AR,Izard,4
05067,AR,Jackson,3
05069,AR,Jefferson,9
05071,AR,Johnson,3
05073,AR,Lafayette,1
05075,AR,Lawrence,5
05077,AR,Lee,1
05079,AR,Lincoln,1
05081,AR,Little River,3
05083,AR,Logan,4
05085,AR,Lonoke,8
05087,AR,Madison,2
05089,AR,Marion,4
05091,AR,Miller,5
05093,AR,Mississippi,8
05095,AR,Monroe,2
05097,AR,Montgomery,1
05099,AR,Nevada,1
05101,AR,Newton,1
05103,AR,Ouachita,6
05105,AR,Perry,1
05107,AR,Phillips,3
05109,AR,Pike,2
05111,AR,Poinsett,5
05113,AR,Polk,3
05115,AR,Pope,9
05117,AR,Prairie,2
05119,AR,Pulaski,40
05121,AR,Randolph,2
05123,AR,St. Francis,4
05125,AR,Saline,12
05127,AR,Scott,4
05129,AR,Searcy,2
05131,AR,Sebastian,16
05133,AR,Sevier,3
05135,AR,Sharp,4
05137,AR,Stone,3
05139,AR,Union,6
05141,AR,Van Buren,4
05143,AR,Washington,28
05145,AR,White,13
05147,AR,Woodruff,2
05149,AR,Yell,3
06001,CA,Alameda,145
06005,CA,Amador,9
06007,CA,Butte,23
06009,CA,Calaveras,7
06011,CA,Colusa,7
06013,CA,Contra Costa,95
06015,CA,Del Norte,2
06017,CA,El Dorado,19
06019,CA,Fresno,216
06021,CA,Glenn,6
06023,CA,Humboldt,23
06025,CA,Imperial,31
06027,CA,Inyo,2
06029,CA,Kern,189
06031,CA,Kings,22
06033,CA,Lake,14
06035,CA,Lassen,3
06037,CA,Los Angeles,1188
06039,CA,Madera,29
06041,CA,Marin,16
06043,CA,Mariposa,1
06045,CA,Mendocino,12
06047,CA,Merced,60
06049,CA,Modoc,4
06051,CA,Mono,2
06053,CA,Monterey,66
06055,CA,Napa,18
06057,CA,Nevada,11
06059,CA,Orange,364
06061,CA,Placer,43
06063,CA,Plumas,6
06065,CA,Riverside,244
06067,CA,Sacramento,158
06069,CA,San Benito,8
06071,CA,San Bernardino,232
06073,CA,San Diego,376
06075,CA,San Francisco,42
06077,CA,San Joaquin,80
06079,CA,San Luis Obispo,34
06081,CA,San Mateo,64
06083,CA,Santa Barbara,60
06085,CA,Santa Clara,145
06087,CA,Santa Cruz,27
06089,CA,Shasta,20
06091,CA,Sierra,1
06093,CA,Siskiyou,11
06095,CA,Solano,47
06097,CA,Sonoma,55
06099,CA,Stanislaus,89
06101,CA,Sutter,13
06103,CA,Tehama,6
06105,CA,Trinity,3
06107,CA,Tulare,87
06109,CA,Tuolumne,8
06111,CA,Ventura,122
06113,CA,Yolo,27
06115,CA,Yuba,12
08001,CO,Adams,40
08003,CO,Alamosa,4
08005,CO,Arapahoe,50
08007,CO,Archuleta,3
08009,CO,Baca,2
08011,CO,Bent,1
08013,CO,Boulder,20
08014,CO,Broomfield,5
08015,CO,Chaffee,3
08017,CO,Cheyenne,1
08019,CO,Clear Creek,1
08021,CO,Conejos,2
08023,CO,Costilla,1
08025,CO,Crowley,1
08027,CO,Custer,1
08029,CO,Delta,5
08031,CO,Denver,31
08033,CO,Dolores,1
08035,CO,Douglas,17
08037,CO,Eagle,7
08039,CO,Elbert,2
08041,CO,El Paso,44
08043,CO,Fremont,5
08045,CO,Garfield,7
08049,CO,Grand,3
08051,CO,Gunnison,2
08055,CO,Huerfano,2
08057,CO,Jackson,1
08059,CO,Jefferson,39
08061,CO,Kiowa,1
08063,CO,Kit Carson,3
08065,CO,Lake,1
08067,CO,La Plata,5
08069,CO,Larimer,23
08071,CO,Las Animas,3
08073,CO,Lincoln,2
08075,CO,Logan,3
08077,CO,Mesa,14
08081,CO,Moffat,2
08083,CO,Montezuma,5
08085,CO,Montrose,7
08087,CO,Morgan,5
08089,CO,Otero,5
08091,CO,Ouray,2
08093,CO,Park,1
08095,CO,Phillips,2
08097,CO,Pitkin,1
08099,CO,Prowers,4
08101,CO,Pueblo,16
08103,CO,Rio Blanco,2
08105,CO,Rio Grande,3
08107,CO,Routt,3
08109,CO,Saguache,1
08113,CO,San Miguel,2
08115,CO,Sedgwick,1
08117,CO,Summit,4
08119,CO,Teller,5
08121,CO,Washington,1
08123,CO,Weld,15
08125,CO,Yuma,3
09001,CT,Fairfield,168
09003,CT,Hartford,219
09005,CT,Litchfield,22
09007,CT,Middlesex,18
09009,CT,New Haven,183
09011,CT,New London,43
09013,CT,Tolland,15
09015,CT,Windham,22
10001,DE,Kent,18
10003,DE,New Castle,46
10005,DE,Sussex,22
11001,DC,District of Columbia,34
12001,FL,Alachua,28
12003,FL,Baker,3
12005,FL,Bay,29
12007,FL,Bradford,4
12009,FL,Brevard,54
12011,FL,Broward,185
12013,FL,Calhoun,3
12015,FL,Charlotte,19
12017,FL,Citrus,15
12019,FL,Clay,20
12021,FL,Collier,32
12023,FL,Columbia,7
12027,FL,DeSoto,5
12029,FL,Dixie,3
12031,FL,Duval,99
12033,FL,Escambia,34
12035,FL,Flagler,11
12037,FL,Franklin,4
12039,FL,Gadsden,5
12041,FL,Gilchrist,3
12045,FL,Gulf,3
12047,FL,Hamilton,2
12049,FL,Hardee,7
12051,FL,Hendry,5
12053,FL,Hernando,23
12055,FL,Highlands,11
12057,FL,Hillsborough,146
12059,FL,Holmes,2
12061,FL,Indian River,15
12063,FL,Jackson,8
12065,FL,Jefferson,2
12067,FL,Lafayette,1
12069,FL,Lake,33
12071,FL,Lee,71
12073,FL,Leon,25
12075,FL,Levy,5
12077,FL,Liberty,1
12079,FL,Madison,3
12081,FL,Manatee,32
12083,FL,Marion,38
12085,FL,Martin,19
12086,FL,Miami-Dade,248
12087,FL,Monroe,10
12089,FL,Nassau,9
12091,FL,Okaloosa,24
12093,FL,Okeechobee,5
12095,FL,Orange,121
12097,FL,Osceola,36
12099,FL,Palm Beach,142
12101,FL,Pasco,51
12103,FL,Pinellas,110
12105,FL,Polk,59
12107,FL,Putnam,10
12109,FL,St. Johns,19
12111,FL,St. Lucie,25
12113,FL,Santa Rosa,17
12115,FL,Sarasota,45
12117,FL,Seminole,46
12119,FL,Sumter,12
12121,FL,Suwannee,5
12123,FL,Taylor,4
12125,FL,Union,1
12127,FL,Volusia,58
12129,FL,Wakulla,3
12131,FL,Walton,11
12133,FL,Washington,4
13001,GA,Appling,4
13003,GA,Atkinson,2
13005,GA,Bacon,4
13007,GA,Baker,1
13009,GA,Baldwin,9
13013,GA,Barrow,11
13015,GA,Bartow,9
13017,GA,Ben Hill,4
13019,GA,Berrien,1
13021,GA,Bibb,31
13023,GA,Bleckley,4
13025,GA,Brantley,2
13027,GA,Brooks,2
13029,GA,Bryan,7
13031,GA,Bulloch,9
13033,GA,Burke,5
13035,GA,Butts,3
13037,GA,Calhoun,1
13039,GA,Camden,8
13043,GA,Candler,1
13045,GA,Carroll,17
13047,GA,Catoosa,10
13049,GA,Charlton,1
13051,GA,Chatham,45
13053,GA,Chattahoochee,2
13055,GA,Chattooga,6
13057,GA,Cherokee,30
13059,GA,Clarke,18
13061,GA,Clay,2
13063,GA,Clayton,31
13065,GA,Clinch,1
13067,GA,Cobb,91
13069,GA,Coffee,8
13071,GA,Colquitt,8
13073,GA,Columbia,24
13075,GA,Cook,4
13077,GA,Coweta,17
13079,GA,Crawford,1
13081,GA,Crisp,7
13083,GA,Dade,4
13085,GA,Dawson,5
13087,GA,Decatur,6
13089,GA,DeKalb,90
13091,GA,Dodge,4
13093,GA,Dooly,2
13095,GA,Dougherty,16
13097,GA,Douglas,13
13099,GA,Early,4
13101,GA,Echols,1
13103,GA,Effingham,5
13105,GA,Elbert,4
13107,GA,Emanuel,3
13109,GA,Evans,2
13111,GA,Fannin,7
13113,GA,Fayette,17
13115,GA,Floyd,16
13117,GA,Forsyth,31
13119,GA,Franklin,6
13121,GA,Fulton,121
13123,GA,Gilmer,6
13127,GA,Glynn,16
13129,GA,Gordon,8
13131,GA,Grady,5
13133,GA,Greene,3
13135,GA,Gwinnett,106
13137,GA,Habersham,9
13139,GA,Hall,32
13141,GA,Hancock,1
13143,GA,Haralson,7
13145,GA,Harris,1
13147,GA,Hart,5
13149,GA,Heard,1
13151,GA,Henry,28
13153,GA,Houston,24
13155,GA,Irwin,1
13157,GA,Jackson,10
13159,GA,Jasper,3
13161,GA,Jeff Davis,4
13163,GA,Jefferson,7
13165,GA,Jenkins,1
13167,GA,Johnson,2
13169,GA,Jones,3
13171,GA,Lamar,3
13173,GA,Lanier,2
13175,GA,Laurens,7
13177,GA,Lee,6
13179,GA,Liberty,9
13181,GA,Lincoln,1
13183,GA,Long,1
13185,GA,Lowndes,15
13187,GA,Lumpkin,4
13189,GA,McDuffie,4
13191,GA,McIntosh,2
13193,GA,Macon,4
13195,GA,Madison,3
13197,GA,Marion,3
13199,GA,Meriwether,3
13201,GA,Miller,2
13205,GA,Mitchell,6
13207,GA,Monroe,4
13209,GA,Montgomery,1
13211,GA,Morgan,2
13213,GA,Murray,5
13215,GA,Muscogee,33
13217,GA,Newton,14
13219,GA,Oconee,4
13221,GA,Oglethorpe,1
13223,GA,Paulding,13
13225,GA,Peach,7
13227,GA,Pickens,8
13229,GA,Pierce,2
13231,GA,Pike,1
13233,GA,Polk,8
13235,GA,Pulaski,2
13237,GA,Putnam,4
13241,GA,Rabun,5
13243,GA,Randolph,3
13245,GA,Richmond,27
13247,GA,Rockdale,11
13249,GA,Schley,2
13251,GA,Screven,2
13253,GA,Seminole,3
13255,GA,Spalding,9
13257,GA,Stephens,6
13259,GA,Stewart,2
13261,GA,Sumter,8
13267,GA,Tattnall,2
13269,GA,Taylor,2
13271,GA,Telfair,4
13273,GA,Terrell,3
13275,GA,Thomas,8
13277,GA,Tift,10
13279,GA,Toombs,6
13281,GA,Towns,2
13283,GA,Treutlen,1
13285,GA,Troup,13
13287,GA,Turner,3
13289,GA,Twiggs,1
13291,GA,Union,8
13293,GA,Upson,3
13295,GA,Walker,8
13297,GA,Walton,10
13299,GA,Ware,8
13301,GA,Warren,1
13303,GA,Washington,4
13305,GA,Wayne,3
13309,GA,Wheeler,1
13311,GA,White,4
13313,GA,Whitfield,17
13315,GA,Wilcox,2
13317,GA,Wilkes,3
13319,GA,Wilkinson,1
13321,GA,Worth,4
15001,HI,Hawaii,29
15003,HI,Honolulu,73
15007,HI,Kauai,11
15009,HI,Maui,24
16001,ID,Ada,35
16003,ID,Adams,2
16005,ID,Bannock,12
16007,ID,Bear Lake,2
16009,ID,Benewah,4
16011,ID,Bingham,6
16013,ID,Blaine,4
16015,ID,Boise,2
16017,ID,Bonner,6
16019,ID,Bonneville,9
16021,ID,Boundary,3
16023,ID,Butte,1
16027,ID,Canyon,16
16029,ID,Caribou,3
16031,ID,Cassia,2
16033,ID,Clark,1
16035,ID,Clearwater,5
16037,ID,Custer,3
16039,ID,Elmore,6
16041,ID,Franklin,1
16043,ID,Fremont,2
16045,ID,Gem,1
16047,ID,Gooding,4
16049,ID,Idaho,6
16051,ID,Jefferson,2
16053,ID,Jerome,2
16055,ID,Kootenai,17
16057,ID,Latah,6
16059,ID,Lemhi,1
16061,ID,Lewis,3
16063,ID,Lincoln,2
16065,ID,Madison,4
16067,ID,Minidoka,3
16069,ID,Nez Perce,8
16071,ID,Oneida,1
16073,ID,Owyhee,3
16075,ID,Payette,4
16077,ID,Power,1
16079,ID,Shoshone,6
16081,ID,Teton,1
16083,ID,Twin Falls,11
16085,ID,Valley,3
16087,ID,Washington,2
17001,IL,Adams,11
17003,IL,Alexander,3
17005,IL,Bond,2
17007,IL,Boone,9
17009,IL,Brown,1
17011,IL,Bureau,5
17013,IL,Calhoun,1
17015,IL,Carroll,3
17017,IL,Cass,3
17019,IL,Champaign,33
17021,IL,Christian,10
17023,IL,Clark,4
17025,IL,Clay,4
17027,IL,Clinton,8
17029,IL,Coles,11
17031,IL,Cook,911
17033,IL,Crawford,2
17035,IL,Cumberland,3
17037,IL,DeKalb,13
17039,IL,De Witt,6
17041,IL,Douglas,3
17043,IL,DuPage,145
17045,IL,Edgar,4
17047,IL,Edwards,2
17049,IL,Effingham,7
17051,IL,Fayette,3
17053,IL,Ford,2
17055,IL,Franklin,11
17057,IL,Fulton,7
17061,IL,Greene,5
17063,IL,Grundy,6
17065,IL,Hamilton,2
17067,IL,Hancock,4
17069,IL,Hardin,1
17071,IL,Henderson,2
17073,IL,Henry,12
17075,IL,Iroquois,6
17077,IL,Jackson,12
17079,IL,Jasper,2
17081,IL,Jefferson,7
17083,IL,Jersey,3
17085,IL,Jo Daviess,4
17087,IL,Johnson,2
17089,IL,Kane,74
17091,IL,Kankakee,19
17093,IL,Kendall,16
17095,IL,Knox,9
17097,IL,Lake,123
17099,IL,LaSalle,21
17101,IL,Lawrence,2
17103,IL,Lee,8
17105,IL,Livingston,5
17107,IL,Logan,6
17109,IL,McDonough,7
17111,IL,McHenry,41
17113,IL,McLean,27
17115,IL,Macon,27
17117,IL,Macoupin,10
17119,IL,Madison,63
17121,IL,Marion,9
17123,IL,Marshall,3
17125,IL,Mason,3
17127,IL,Massac,4
17129,IL,Menard,3
17131,IL,Mercer,3
17133,IL,Monroe,6
17135,IL,Montgomery,6
17137,IL,Morgan,7
17139,IL,Moultrie,4
17141,IL,Ogle,7
17143,IL,Peoria,53
17145,IL,Perry,5
17147,IL,Piatt,2
17149,IL,Pike,5
17151,IL,Pope,1
17153,IL,Pulaski,3
17155,IL,Putnam,1
17157,IL,Randolph,5
17159,IL,Richland,5
17161,IL,Rock Island,32
17163,IL,St. Clair,75
17165,IL,Saline,8
17167,IL,Sangamon,55
17169,IL,Schuyler,1
17171,IL,Scott,1
17173,IL,Shelby,5
17175,IL,Stark,1
17177,IL,Stephenson,11
17179,IL,Tazewell,25
17181,IL,Union,6
17183,IL,Vermilion,21
17185,IL,Wabash,3
17187,IL,Warren,5
17189,IL,Washington,4
17191,IL,Wayne,4
17193,IL,White,5
17195,IL,Whiteside,10
17197,IL,Will,102
17199,IL,Williamson,17
17201,IL,Winnebago,64
17203,IL,Woodford,7
18001,IN,Adams,4
18003,IN,Allen,29
18005,IN,Bartholomew,7
18007,IN,Benton,3
18009,IN,Blackford,3
18011,IN,Boone,5
18013,IN,Brown,1
18015,IN,Carroll,3
18017,IN,Cass,7
18019,IN,Clark,9
18021,IN,Clay,3
18023,IN,Clinton,4
18025,IN,Crawford,4
18027,IN,Daviess,5
18029,IN,Dearborn,4
18031,IN,Decatur,4
18033,IN,DeKalb,6
18035,IN,Delaware,11
18037,IN,Dubois,9
18039,IN,Elkhart,18
18041,IN,Fayette,3
18043,IN,Floyd,8
18045,IN,Fountain,5
18047,IN,Franklin,6
18049,IN,Fulton,4
18051,IN,Gibson,6
18053,IN,Grant,9
18055,IN,Greene,7
18057,IN,Hamilton,24
18059,IN,Hancock,5
18061,IN,Harrison,3
18063,IN,Hendricks,15
18065,IN,Henry,7
18067,IN,Howard,7
18069,IN,Huntington,3
18071,IN,Jackson,6
18073,IN,Jasper,8
18075,IN,Jay,3
18077,IN,Jefferson,5
18079,IN,Jennings,3
18081,IN,Johnson,9
18083,IN,Knox,4
18085,IN,Kosciusko,8
18087,IN,LaGrange,3
18089,IN,Lake,48
18091,IN,LaPorte,10
18093,IN,Lawrence,6
18095,IN,Madison,14
18097,IN,Marion,85
18099,IN,Marshall,5
18101,IN,Martin,4
18103,IN,Miami,3
18105,IN,Monroe,9
18107,IN,Montgomery,4
18109,IN,Morgan,7
18111,IN,Newton,1
18113,IN,Noble,6
18115,IN,Ohio,1
18117,IN,Orange,3
18119,IN,Owen,4
18121,IN,Parke,2
18123,IN,Perry,3
18125,IN,Pike,1
18127,IN,Porter,13
18129,IN,Posey,4
18131,IN,Pulaski,2
18133,IN,Putnam,3
18135,IN,Randolph,2
18137,IN,Ripley,5
18139,IN,Rush,2
18141,IN,St. Joseph,22
18143,IN,Scott,4
18145,IN,Shelby,3
18147,IN,Spencer,3
18149,IN,Starke,4
18151,IN,Steuben,6
18153,IN,Sullivan,3
18155,IN,Switzerland,2
18157,IN,Tippecanoe,11
18159,IN,Tipton,1
18161,IN,Union,2
18163,IN,Vanderburgh,27
18165,IN,Vermillion,3
18167,IN,Vigo,8
18169,IN,Wabash,5
18171,IN,Warren,2
18173,IN,Warrick,7
18175,IN,Washington,4
18177,IN,Wayne,7
18179,IN,Wells,3
18181,IN,White,2
18183,IN,Whitley,3
19001,IA,Adair,3
19003,IA,Adams,1
19005,IA,Allamakee,4
19007,IA,Appanoose,3
19009,IA,Audubon,1
19011,IA,Benton,3
19013,IA,Black Hawk,24
19015,IA,Boone,6
19017,IA,Bremer,7
19019,IA,Buchanan,5
19021,IA,Buena Vista,5
19023,IA,Butler,5
19025,IA,Calhoun,3
19027,IA,Carroll,9
19029,IA,Cass,6
19031,IA,Cedar,4
19033,IA,Cerro Gordo,10
19035,IA,Cherokee,4
19037,IA,Chickasaw,2
19039,IA,Clarke,3
19041,IA,Clay,4
19043,IA,Clayton,6
19045,IA,Clinton,9
19047,IA,Crawford,3
19049,IA,Dallas,11
19051,IA,Davis,1
19053,IA,Decatur,2
19055,IA,Delaware,3
19057,IA,Des Moines,7
19059,IA,Dickinson,5
19061,IA,Dubuque,19
19063,IA,Emmet,2
19065,IA,Fayette,6
19067,IA,Floyd,3
19069,IA,Franklin,2
19071,IA,Fremont,3
19073,IA,Greene,2
19075,IA,Grundy,3
19077,IA,Guthrie,2
19079,IA,Hamilton,4
19081,IA,Hancock,3
19083,IA,Hardin,7
19085,IA,Harrison,4
19087,IA,Henry,3
19089,IA,Howard,1
19091,IA,Humboldt,2
19093,IA,Ida,2
19095,IA,Iowa,3
19097,IA,Jackson,5
19099,IA,Jasper,9
19101,IA,Jefferson,2
19103,IA,Johnson,20
19105,IA,Jones,5
19107,IA,Keokuk,2
