CountyFIPS,state,county,specs16
01001,AL,Autauga,1
01003,AL,Baldwin,27
01005,AL,Barbour,2
01007,AL,Bibb,0
01009,AL,Blount,0
01011,AL,Bullock,0
01013,AL,Butler,0
01015,AL,Calhoun,1
01017,AL,Chambers,1
01019,AL,Cherokee,0
01021,AL,Chilton,3
01023,AL,Choctaw,0
01025,AL,Clarke,1
01027,AL,Clay,0
01029,AL,Cleburne,0
01031,AL,Coffee,0
01033,AL,Colbert,4
01035,AL,Conecuh,0
01037,AL,Coosa,0
01039,AL,Covington,3
01041,AL,Crenshaw,1
01043,AL,Cullman,4
01045,AL,Dale,1
01047,AL,Dallas,0
01049,AL,DeKalb,3
01051,AL,Elmore,0
01053,AL,Escambia,0
01055,AL,Etowah,6
01057,AL,Fayette,0
01059,AL,Franklin,1
01061,AL,Geneva,1
01063,AL,Greene,0
01065,AL,Hale,0
01067,AL,Henry,2
01069,AL,Houston,6
01071,AL,Jackson,2
01073,AL,Jefferson,40
01075,AL,Lamar,0
01077,AL,Lauderdale,4
01079,AL,Lawrence,1
01081,AL,Lee,2
01083,AL,Limestone,2
01085,AL,Lowndes,0
01087,AL,Macon,0
01089,AL,Madison,23
01091,AL,Marengo,1
01093,AL,Marion,2
01095,AL,Marshall,4
01097,AL,Mobile,25
01099,AL,Monroe,0
01101,AL,Montgomery,13
01103,AL,Morgan,4
01105,AL,Perry,0
01107,AL,Pickens,0
01109,AL,Pike,0
01111,AL,Randolph,2
01113,AL,Russell,0
01115,AL,St. Clair,1
01117,AL,Shelby,9
01119,AL,Sumter,0
01121,AL,Talladega,0
01123,AL,Tallapoosa,0
01125,AL,Tuscaloosa,4
01127,AL,Walker,0
01129,AL,Washington,0
01131,AL,Wilcox,0
01133,AL,Winston,0
02013,AK,Aleutians East,0
02016,AK,Aleutians West,1
02020,AK,Anchorage,20
02050,AK,Bethel,0
02060,AK,Bristol Bay,0
02068,AK,Denali,0
02070,AK,Dillingham,0
02090,AK,Fairbanks North Star,6
02100,AK,Haines,0
02105,AK,Hoonah-Angoon,1
02110,AK,Juneau,3
02122,AK,Kenai Peninsula,9
02130,AK,Ketchikan Gateway,6
02150,AK,Kodiak Island,1
02164,AK,Lake and Peninsula,0
02170,AK,Matanuska-Susitna,5
02180,AK,Nome,0
02185,AK,North Slope,0
02188,AK,Northwest Arctic,0
02195,AK,Petersburg,2
02198,AK,Prince of Wales-Hyder,0
02220,AK,Sitka,0
02230,AK,Skagway,2
02240,AK,Southeast Fairbanks,0
02261,AK,Valdez-Cordova,2
02270,AK,Wade Hampton,0
02275,AK,Wrangell,0
02282,AK,Yakutat,0
02290,AK,Yukon-Koyukuk,0
04001,AZ,Apache,0
04003,AZ,Cochise,9
04005,AZ,Coconino,12
04007,AZ,Gila,1
04009,AZ,Graham,2
04011,AZ,Greenlee,0
04012,AZ,La Paz,1
04013,AZ,Maricopa,213
04015,AZ,Mohave,11
04017,AZ,Navajo,3
04019,AZ,Pima,69
04021,AZ,Pinal,11
04023,AZ,Santa Cruz,5
04025,AZ,Yavapai,13
04027,AZ,Yuma,5
05001,AR,Arkansas,0
05003,AR,Ashley,0
05005,AR,Baxter,2
05007,AR,Benton,18
05009,AR,Boone,3
05011,AR,Bradley,0
05013,AR,Calhoun,0
05015,AR,Carroll,5
05017,AR,Chicot,0
05019,AR,Clark,0
05021,AR,Clay,0
05023,AR,Cleburne,0
05025,AR,Cleveland,0
05027,AR,Columbia,0
05029,AR,Conway,0
05031,AR,Craighead,3
05033,AR,Crawford,5
05035,AR,Crittenden,2
05037,AR,Cross,1
05039,AR,Dallas,2
05041,AR,Desha,0
05043,AR,Drew,1
05045,AR,Faulkner,4
05047,AR,Franklin,1
05049,AR,Fulton,0
05051,AR,Garland,7
05053,AR,Grant,0
05055,AR,Greene,2
05057,AR,Hempstead,1
05059,AR,Hot Spring,0
05061,AR,Howard,2
05063,AR,Independence,2
05065,AR,Izard,1
05067,AR,Jackson,0
05069,AR,Jefferson,2
05071,AR,Johnson,0
05073,AR,Lafayette,2
05075,AR,Lawrence,1
05077,AR,Lee,0
05079,AR,Lincoln,0
05081,AR,Little River,0
05083,AR,Logan,0
05085,AR,Lonoke,2
05087,AR,Madison,1
05089,AR,Marion,0
05091,AR,Miller,1
05093,AR,Mississippi,1
05095,AR,Monroe,0
05097,AR,Montgomery,0
05099,AR,Nevada,0
05101,AR,Newton,1
05103,AR,Ouachita,0
05105,AR,Perry,0
05107,AR,Phillips,1
05109,AR,Pike,0
05111,AR,Poinsett,0
05113,AR,Polk,0
05115,AR,Pope,3
05117,AR,Prairie,0
05119,AR,Pulaski,34
05121,AR,Randolph,0
05123,AR,St. Francis,0
05125,AR,Saline,2
05127,AR,Scott,0
05129,AR,Searcy,1
05131,AR,Sebastian,9
05133,AR,Sevier,0
05135,AR,Sharp,0
05137,AR,Stone,0
05139,AR,Union,3
05141,AR,Van Buren,1
05143,AR,Washington,13
05145,AR,White,0
05147,AR,Woodruff,0
05149,AR,Yell,0
06001,CA,Alameda,133
06003,CA,Alpine,0
06005,CA,Amador,5
06007,CA,Butte,13
06009,CA,Calaveras,3
06011,CA,Colusa,5
06013,CA,Contra Costa,76
06015,CA,Del Norte,2
06017,CA,El Dorado,12
06019,CA,Fresno,73
06021,CA,Glenn,5
06023,CA,Humboldt,13
06025,CA,Imperial,7
06027,CA,Inyo,2
06029,CA,Kern,40
06031,CA,Kings,5
06033,CA,Lake,1
06035,CA,Lassen,3
06037,CA,Los Angeles,787
06039,CA,Madera,10
06041,CA,Marin,15
06043,CA,Mariposa,0
06045,CA,Mendocino,12
06047,CA,Merced,18
06049,CA,Modoc,0
06051,CA,Mono,1
06053,CA,Monterey,44
06055,CA,Napa,14
06057,CA,Nevada,12
06059,CA,Orange,215
06061,CA,Placer,22
06063,CA,Plumas,3
06065,CA,Riverside,120
06067,CA,Sacramento,84
06069,CA,San Benito,1
06071,CA,San Bernardino,95
06073,CA,San Diego,227
06075,CA,San Francisco,178
06077,CA,San Joaquin,52
06079,CA,San Luis Obispo,35
06081,CA,San Mateo,53
06083,CA,Santa Barbara,37
06085,CA,Santa Clara,132
06087,CA,Santa Cruz,30
06089,CA,Shasta,13
06091,CA,Sierra,0
06093,CA,Siskiyou,3
06095,CA,Solano,32
06097,CA,Sonoma,69
06099,CA,Stanislaus,45
06101,CA,Sutter,10
